scene_name,turn_order,npc_en,staff_jp,staff_en,display_order
居酒屋,staff_first,,いらっしゃいませ,Welcome!,1
居酒屋,staff_first,,何名様ですか?,How many people are in your group?,2
居酒屋,staff_first,There are two people.,お席にご案内します,I will show you to your seat.,3
居酒屋,npc_first,thanks.,,,4
居酒屋,staff_first,,こちらメニュー表です,Here is the menu.,5
居酒屋,staff_first,,ご注文お決まりになりましたらお呼び下さい,Please call us when you are ready to order.,6
居酒屋,npc_first,Excuse me can we order?,,,7
居酒屋,staff_first,,ご注文お伺いします,May I take your order?,8
居酒屋,npc_first,I'd like some tofu and Japanese fried chicken please.,,,9
居酒屋,staff_first,,お飲み物は何になさいますか?,What would you like to drink?,10
居酒屋,npc_first,Two draft beers please.,,,11
居酒屋,staff_first,,わかりました,Understood,12
居酒屋,staff_first,,ご注文は以上でよろしいでしょうか?,Is that all for your order?,13
居酒屋,npc_first,That's all,,,14
居酒屋,staff_first,,こちらお通しです,This is the appetizer.,15
居酒屋,staff_first,,こちら生ビールと豆腐と唐揚げです,Here is your draft beer and tofu and fried chicken.,16
居酒屋,staff_first,,ご注文は揃いましたでしょうか?,Have all your orders arrived?,17
居酒屋,npc_first,yes thanks,,,18
居酒屋,npc_first,"Can I have a wet towel, and small plate, please?",,,19
居酒屋,staff_first,,わかりました,Understood,20
居酒屋,staff_first,,空いたお皿・グラスをおさげします,I will clear away the empty plates and glasses,21
居酒屋,npc_first,Excuse me Where is the restroom?,,,22
居酒屋,staff_first,,まっすぐ行って突き当たりを右に曲がったところにあります,Go straight and turn right at the end.,23
居酒屋,npc_first,"Check, please.",,,24
居酒屋,staff_first,,お会計はご一緒でいいですか?,Would you like to pay together?,25
居酒屋,npc_first,yes,,,26
居酒屋,staff_first,,お会計が4500円です,That will be 4500 yen.,27
居酒屋,npc_first,Do you accept credit cards?,,,28
居酒屋,staff_first,,はい　使えます,Yes we do,29
居酒屋,staff_first,,こちらレシートです,Here is your receipt.,30
居酒屋,staff_first,,ありがとうございました。またのお越しをお待ちしております,"Thank you very much. We hope to see you again.",31
カフェ,staff_first,,いらっしゃいませ,Welcome!,32
カフェ,staff_first,,空いているお席へどうぞ,Please feel free to take any available seat,33
カフェ,staff_first,,ご注文はお決まりですか?,Are you ready to order?,34
カフェ,npc_first,"I'll have a hot coffee and sandwich, please",,,35
カフェ,staff_first,,コーヒーのサイズはどうされますか?,What size coffee would you like?,36
カフェ,npc_first,"Medium, please",,,37
カフェ,staff_first,,かしこまりました,Certainly,38
カフェ,staff_first,,店内でお召し上がりですか?,For here or to go?,39
カフェ,npc_first,yes,,,40
カフェ,staff_first,,お待たせしましたホットコーヒーとサンドイッチですごゆっくりどうぞ,Thank you for waiting. Here is your hot coffee and sandwich. Enjoy,41
カフェ,npc_first,"Check, please.",,,42
カフェ,staff_first,,お会計は1200円になります,That'll be 1200 yen,43
カフェ,npc_first,"I'll pay 2,000 yen",,,44
カフェ,staff_first,,800円のお返しです,Here is your change of 800 yen,45
カフェ,staff_first,,ありがとうございました,"Thank you, have a nice day",46
